,Duration,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
20,45,7,25,2.5,"[50, 60]",5.5,PPO,0.6807877315807022,0.10213837022158102,1.6468959397227951,0.010432246671520748,2333,0.02314616373767681,0.02314616373767681,0.44327761108729813,0.0,1.0,45,0.9969995713673382,0.010432246671520748,Kinematics,,,,0.5
21,40,4,50,1.0,"[20, 30]",5.5,DQN,0.802810699541616,0.12899606387110002,16.578497128201292,0.016639984494236915,3452,0.010139049826187718,0.010139049826187718,0.4730590961761298,0.4176229738024967,1.0,40,0.9979721900347625,0.016639984494236915,Kinematics,,,,2.0
22,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7505287571998956,0.08879168957951213,10.67643810219523,0.007883964138384441,3799,0.0023690444853908922,0.0023690444853908922,0.5091690795823463,0.1931131808174992,1.0,40,0.9994735456699131,0.007883964138384441,Kinematics,,,0,2.0
23,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7586524579565744,0.07728676982733598,7.61242634156485,0.005973244790343611,3958,0.0007579585649317837,0.0007579585649317837,0.7214081185784066,0.16648958410488174,1.0,40,0.9997473471450228,0.005973244790343611,Kinematics,,,1,2.0
24,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7545042501613378,0.0834319809090556,7.521676942911723,0.006960895438409018,3856,0.00233402489626556,0.00233402489626556,0.7958160442600275,0.13627198928067394,1.0,40,1.0,0.006960895438409018,Kinematics,,,2,2.0
25,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7668706983034483,0.0887653459927381,9.216558134353102,0.007879286649210506,3655,0.004103967168262654,0.004103967168262654,0.8303693570451436,0.17843269729730152,1.0,40,0.9991792065663475,0.007879286649210506,Kinematics,,,,1.0
26,40,4,50,1.0,"[20, 30]",5.5,PPO,0.759587565660253,0.09152942307361243,9.213586033389408,0.008377635288188337,3611,0.004430905566325118,0.004430905566325118,0.6925136158035632,0.18640223119087024,1.0,40,0.9977845472168374,0.008377635288188337,Kinematics,,,,0.5
27,40,4,50,1.5,"[20, 30]",5.5,PPO,0.70220501256039,0.1074254480180812,3.4371373180267186,0.011540226881885465,2762,0.01991310644460536,0.01991310644460536,0.5473087134926381,0.04622438483981635,1.0,40,0.9931209268645909,0.011540226881885465,Kinematics,,,,2.0
28,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7539333453376525,0.0865103445964079,7.712638714159933,0.00748403972218924,3773,0.0031804929764113437,0.0031804929764113437,0.7245339694319287,0.15406778509924313,1.0,40,0.9997349589186324,0.00748403972218924,Kinematics,,,,2.0
29,40,4,50,2.5,"[20, 30]",5.5,PPO,0.6378437175236449,0.25739012268828354,15.522815058709662,0.06624967525748965,676,0.14792899408284024,0.14792899408284024,0.5231755424063116,0.13094254031919086,1.0,29,0.9511834319526628,0.06624967525748965,Kinematics,,,,2.0
30,40,4,50,2.0,"[20, 30]",5.5,PPO,0.6643262082281841,0.16866778110951608,4.507178805147249,0.028448820384407634,1440,0.06597222222222222,0.06597222222222222,0.5527777777777778,0.01795939196680158,1.0,40,0.9902777777777778,0.028448820384407634,Kinematics,,,,2.0
31,40,4,50,1.0,"[20, 30]",5.5,PPO,0.7708617917993071,0.09844887228651115,11.622767154646084,0.009692180454485784,3659,0.004372779447936594,0.004372779447936594,0.7372688348364762,0.21734645915812414,1.0,40,0.9986335064225198,0.009692180454485784,Kinematics,,,,2.0
